日期,收盘,开盘,高,低,交易量,涨跌幅
1/2/2018,405.48,395.97,405.68,395.58,24.08M,2.91%
1/3/2018,409.75,411.5,414.22,406.65,22.78M,1.05%
1/4/2018,419.07,414.41,419.65,411.7,27.90M,2.27%
1/5/2018,420.43,423.54,423.54,415.58,19.96M,0.32%
1/8/2018,425.67,423.34,426.25,421.01,17.99M,1.25%
1/9/2018,430.72,428,433.24,426.06,24.48M,1.19%
1/10/2018,427.42,432.66,433.05,427.03,18.01M,-0.77%
1/11/2018,416.74,423.15,425.09,416.74,27.64M,-2.50%
1/12/2018,429.16,419.07,429.16,418.1,19.20M,2.98%
1/15/2018,420.43,432.27,435.57,420.43,23.39M,-2.03%
1/16/2018,431.11,423.15,431.69,422.18,20.59M,2.54%
1/17/2018,435.76,429.94,435.76,426.25,24.88M,1.08%
1/18/2018,434.6,439.26,440.62,431.69,21.80M,-0.27%
1/19/2018,439.06,438.87,439.65,434.79,14.75M,1.03%
1/22/2018,446.44,441.59,446.44,437.12,19.36M,1.68%
1/23/2018,460.61,452.46,460.61,449.93,23.87M,3.17%
1/24/2018,455.17,460.03,460.42,453.04,24.93M,-1.18%
1/25/2018,444.5,452.46,454.4,444.5,27.73M,-2.34%
1/26/2018,457.31,450.52,457.31,450.32,22.01M,2.88%
1/29/2018,457.7,459.83,462.55,452.65,22.50M,0.09%
1/30/2018,448.19,449.55,455.76,447.6,22.26M,-2.08%
1/31/2018,449.93,442.17,454.59,441.78,27.61M,0.39%
2/1/2018,446.44,452.26,453.04,446.44,17.12M,-0.78%
2/2/2018,439.06,445.47,446.44,437.71,24.33M,-1.65%
2/5/2018,428,421.01,432.66,420.04,40.39M,-2.52%
2/6/2018,397.91,410.53,412.86,395.2,86.85M,-7.03%
2/7/2018,402.57,417.32,420.04,401.02,61.05M,1.17%
2/8/2018,407.81,406.45,411.5,401.8,35.44M,1.30%
2/9/2018,395.39,391.12,398.88,386.27,69.16M,-3.05%
2/12/2018,397.53,400.63,407.43,397.53,33.85M,0.54%
2/13/2018,409.95,406.84,413.05,405.68,23.71M,3.12%
2/14/2018,420.82,415.97,422.18,413.83,22.29M,2.65%
2/15/2018,433.82,431.3,433.82,428.78,16.35M,3.09%
2/20/2018,432.66,436.74,439.65,431.69,20.48M,-0.27%
2/21/2018,444.5,435.38,444.5,434.02,20.40M,2.74%
2/22/2018,433.24,441.59,441.78,433.24,22.39M,-2.53%
2/23/2018,440.03,440.62,441.2,436.15,14.99M,1.57%
2/26/2018,439.65,442.56,443.53,435.18,21.25M,-0.09%
2/27/2018,432.85,444.5,444.5,429.16,22.01M,-1.55%
2/28/2018,419.46,426.06,427.03,418.3,32.56M,-3.09%
3/1/2018,433.82,417.32,434.21,415.38,27.11M,3.42%
3/2/2018,423.15,424.12,427.61,423.15,25.89M,-2.46%
3/5/2018,412.47,423.15,426.64,412.47,24.04M,-2.52%
3/6/2018,425.67,422.18,430.91,417.32,24.81M,3.20%
3/7/2018,421.4,422.37,428.19,417.32,19.26M,-1.00%
3/8/2018,429.94,427.03,430.91,425.09,17.51M,2.03%
3/9/2018,433.82,431.88,434.99,431.88,13.03M,0.90%
3/12/2018,446.44,441.98,446.44,441.39,25.51M,2.91%
3/13/2018,449.16,446.44,449.16,442.36,18.50M,0.61%
3/14/2018,449.93,443.92,450.13,440.23,22.61M,0.17%
3/15/2018,454.79,445.66,456.15,444.5,24.70M,1.08%
3/16/2018,451.49,453.23,458.86,451.49,23.90M,-0.73%
3/19/2018,448.19,451.29,456.53,448.19,16.29M,-0.73%
3/20/2018,452.85,442.95,454.59,442.56,21.95M,1.04%
3/21/2018,448.96,458.28,461.58,447.02,28.24M,-0.86%
3/22/2018,426.45,438.29,445.47,425.67,71.85M,-5.01%
3/23/2018,407.62,393.06,412.28,393.06,308.44M,-4.42%
3/26/2018,414.02,407.04,418.3,400.24,47.30M,1.57%
3/27/2018,419.46,422.37,425.67,417.52,42.64M,1.31%
3/28/2018,400.05,407.62,414.8,399.27,48.96M,-4.63%
3/29/2018,397.53,401.8,404.71,393.26,41.12M,-0.63%
4/3/2018,397.33,392.67,400.24,388.79,32.89M,-0.05%
4/4/2018,385.88,396.17,399.86,385.88,35.86M,-2.88%
4/6/2018,393.84,392.87,397.53,388.6,26.59M,2.06%
4/9/2018,397.91,395.97,402.38,392.29,21.22M,1.03%
4/10/2018,404.9,400.83,406.26,397.33,25.58M,1.76%
4/11/2018,407.23,408.59,413.05,404.9,23.91M,0.58%
4/12/2018,401.02,409.95,411.11,396.75,20.60M,-1.52%
4/13/2018,395.97,404.32,404.51,395.2,19.57M,-1.26%
4/16/2018,391.12,394.81,395.78,387.43,24.90M,-1.22%
4/17/2018,385.49,391.31,394.61,383.36,28.41M,-1.44%
4/18/2018,388.21,392.29,393.06,381.8,28.12M,0.71%
4/19/2018,393.84,392.09,395.2,388.79,21.81M,1.45%
4/20/2018,388.4,394.03,394.81,386.66,18.11M,-1.38%
4/23/2018,382.39,385.88,388.4,382,19.32M,-1.55%
4/24/2018,384.91,384.91,387.63,382.58,14.52M,0.66%
4/25/2018,375.4,379.28,381.42,373.46,34.82M,-2.47%
4/26/2018,370.93,376.56,379.09,366.08,34.96M,-1.19%
4/27/2018,376.95,378.5,379.28,371.71,26.45M,1.62%
4/30/2018,379.47,380.83,382,377.73,12.88M,0.67%
5/2/2018,381.8,379.47,385.1,379.47,19.20M,0.61%
5/3/2018,373.65,377.92,379.09,373.07,23.91M,-2.13%
5/4/2018,371.52,378.12,378.12,370.74,19.33M,-0.57%
5/7/2018,368.8,376.56,377.34,364.33,34.27M,-0.73%
5/8/2018,379.09,372.68,382,370.74,33.39M,2.79%
5/9/2018,382.97,383.36,385.1,379.09,20.94M,1.02%
5/10/2018,394.23,387.24,394.61,386.27,31.12M,2.94%
5/11/2018,396.75,399.86,402.77,395.97,24.70M,0.64%
5/14/2018,399.66,402.77,404.51,396.94,20.83M,0.73%
5/15/2018,386.27,399.66,400.44,386.27,33.14M,-3.35%
5/16/2018,384.52,386.85,387.04,379.09,29.61M,-0.45%
5/17/2018,398.88,411.5,411.7,397.14,69.10M,3.73%
5/18/2018,398.88,401.99,402.77,395.97,21.41M,0.00%
5/21/2018,395.97,404.32,405.68,395.97,21.44M,-0.73%
5/23/2018,395,400.63,402.18,395,24.57M,-0.24%
5/24/2018,395,398.88,399.27,390.73,17.16M,0.00%
5/25/2018,392.09,391.12,395.58,389.76,16.75M,-0.74%
5/28/2018,393.26,395.58,395.58,389.37,13.39M,0.30%
5/29/2018,390.15,391.9,394.23,390.15,12.13M,-0.79%
5/30/2018,383.36,388.4,388.4,383.36,23.25M,-1.74%
5/31/2018,387.43,385.1,389.96,383.55,36.77M,1.06%
6/1/2018,392.09,389.76,392.09,386.46,23.15M,1.20%
6/4/2018,402.77,400.83,402.77,396.75,31.28M,2.72%
6/5/2018,407.62,406.45,407.62,403.15,25.88M,1.20%
6/6/2018,412.47,408.78,412.47,408.4,23.22M,1.19%
6/7/2018,416.55,418.3,418.88,413.25,24.69M,0.99%
6/8/2018,402.77,414.02,414.02,400.44,28.93M,-3.31%
6/11/2018,406.65,407.62,408.59,403.35,15.48M,0.96%
6/12/2018,405.1,408.01,409.95,403.93,12.36M,-0.38%
6/13/2018,402.96,407.62,407.62,402.77,12.21M,-0.53%
6/14/2018,399.86,405.29,405.29,396.56,17.69M,-0.77%
6/15/2018,397.91,403.74,404.71,396.36,23.18M,-0.49%
6/19/2018,385.1,397.91,397.91,383.55,34.55M,-3.22%
6/20/2018,388.4,388.21,392.67,385.69,22.96M,0.86%
6/21/2018,385.1,392.48,393.06,384.52,20.16M,-0.85%
6/22/2018,385.69,383.94,388.6,379.67,20.17M,0.15%
6/25/2018,377.34,383.36,386.07,376.95,21.69M,-2.16%
6/26/2018,374.62,372.68,378.89,368.8,29.83M,-0.72%
6/27/2018,366.28,374.62,376.17,366.28,28.08M,-2.23%
6/28/2018,367.83,363.95,371.13,362.39,27.51M,0.42%
6/29/2018,382.19,368.8,382.19,368.8,28.31M,3.90%
7/3/2018,379.28,383.36,383.36,370.35,25.64M,-0.76%
7/4/2018,371.71,377.73,379.28,370.55,15.07M,-2.00%
7/5/2018,374.23,371.71,376.56,368.02,13.98M,0.68%
